Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;Total Nacional;Tasa de paro de la población;2023T4;11,76
Ambos sexos;02 Albacete;Tasa de paro de la población;2023T4;11,96
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T4;13,28
Ambos sexos;04 Almería;Tasa de paro de la población;2023T4;14,46
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T4;5,03
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T4;11,81
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T4;11,30
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T4;17,59
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T4;11,38
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T4;8,44
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T4;6,69
Ambos sexos;09 Burgos;Tasa de paro de la población;2023T4;8,41
Ambos sexos;10 Cáceres;Tasa de paro de la población;2023T4;13,96
Ambos sexos;11 Cádiz;Tasa de paro de la población;2023T4;20,82
Ambos sexos;39 Cantabria;Tasa de paro de la población;2023T4;7,48
Ambos sexos;12 Castellón/Castelló;Tasa de paro de la población;2023T4;13,97
Ambos sexos;13 Ciudad Real;Tasa de paro de la población;2023T4;16,27
Ambos sexos;14 Córdoba;Tasa de paro de la población;2023T4;15,43
Ambos sexos;15 Coruña, A;Tasa de paro de la población;2023T4;8,44
Ambos sexos;16 Cuenca;Tasa de paro de la población;2023T4;11,30
Ambos sexos;20 Gipuzkoa;Tasa de paro de la población;2023T4;6,35
Ambos sexos;17 Girona;Tasa de paro de la población;2023T4;9,28
Ambos sexos;18 Granada;Tasa de paro de la población;2023T4;21,34
Ambos sexos;19 Guadalajara;Tasa de paro de la población;2023T4;9,31
Ambos sexos;21 Huelva;Tasa de paro de la población;2023T4;20,57
Ambos sexos;22 Huesca;Tasa de paro de la población;2023T4;10,85
Ambos sexos;23 Jaén;Tasa de paro de la población;2023T4;18,95
Ambos sexos;24 León;Tasa de paro de la población;2023T4;10,34
Ambos sexos;25 Lleida;Tasa de paro de la población;2023T4;5,42
Ambos sexos;27 Lugo;Tasa de paro de la población;2023T4;7,35
Ambos sexos;28 Madrid;Tasa de paro de la población;2023T4;9,72
Ambos sexos;29 Málaga;Tasa de paro de la población;2023T4;16,49
Ambos sexos;30 Murcia;Tasa de paro de la población;2023T4;11,32
Ambos sexos;31 Navarra;Tasa de paro de la población;2023T4;9,32
Ambos sexos;32 Ourense;Tasa de paro de la población;2023T4;9,77
Ambos sexos;34 Palencia;Tasa de paro de la población;2023T4;6,92
Ambos sexos;35 Palmas, Las;Tasa de paro de la población;2023T4;15,48
Ambos sexos;36 Pontevedra;Tasa de paro de la población;2023T4;10,41
Ambos sexos;26 Rioja, La;Tasa de paro de la población;2023T4;9,52
Ambos sexos;37 Salamanca;Tasa de paro de la población;2023T4;10,56
Ambos sexos;38 Santa Cruz de Tenerife;Tasa de paro de la población;2023T4;16,94
Ambos sexos;40 Segovia;Tasa de paro de la población;2023T4;8,01
Ambos sexos;41 Sevilla;Tasa de paro de la población;2023T4;15,69
Ambos sexos;42 Soria;Tasa de paro de la población;2023T4;5,36
Ambos sexos;43 Tarragona;Tasa de paro de la población;2023T4;14,45
Ambos sexos;44 Teruel;Tasa de paro de la población;2023T4;9,46
Ambos sexos;45 Toledo;Tasa de paro de la población;2023T4;11,84
Ambos sexos;46 Valencia/València;Tasa de paro de la población;2023T4;11,93
Ambos sexos;47 Valladolid;Tasa de paro de la población;2023T4;8,62
Ambos sexos;49 Zamora;Tasa de paro de la población;2023T4;15,41
Ambos sexos;50 Zaragoza;Tasa de paro de la población;2023T4;6,96
Ambos sexos;51 Ceuta;Tasa de paro de la población;2023T4;28,35
Ambos sexos;52 Melilla;Tasa de paro de la población;2023T4;27,42
