Provincias;Sector económico;Periodo;Total
Total Nacional;Agricultura;2023T4;3,7
Total Nacional;Industria;2023T4;12,2
Total Nacional;Construcción;2023T4;6,2
Total Nacional;Servicios;2023T4;72,1
02 Albacete;Agricultura;2023T4;10,5
02 Albacete;Industria;2023T4;13,2
02 Albacete;Construcción;2023T4;5,1
02 Albacete;Servicios;2023T4;65,5
03 Alicante/Alacant;Agricultura;2023T4;2,4
03 Alicante/Alacant;Industria;2023T4;12,7
03 Alicante/Alacant;Construcción;2023T4;7,9
03 Alicante/Alacant;Servicios;2023T4;70,3
04 Almería;Agricultura;2023T4;20,7
04 Almería;Industria;2023T4;6,9
04 Almería;Construcción;2023T4;4,8
04 Almería;Servicios;2023T4;60,6
01 Araba/Álava;Agricultura;2023T4;1,7
01 Araba/Álava;Industria;2023T4;28,0
01 Araba/Álava;Construcción;2023T4;5,3
01 Araba/Álava;Servicios;2023T4;62,0
33 Asturias;Agricultura;2023T4;2,5
33 Asturias;Industria;2023T4;12,9
33 Asturias;Construcción;2023T4;7,3
33 Asturias;Servicios;2023T4;70,7
05 Ávila;Agricultura;2023T4;9,7
05 Ávila;Industria;2023T4;9,7
05 Ávila;Construcción;2023T4;7,3
05 Ávila;Servicios;2023T4;68,9
06 Badajoz;Agricultura;2023T4;9,0
06 Badajoz;Industria;2023T4;8,7
06 Badajoz;Construcción;2023T4;5,4
06 Badajoz;Servicios;2023T4;69,0
07 Balears, Illes;Agricultura;2023T4;0,7
07 Balears, Illes;Industria;2023T4;6,0
07 Balears, Illes;Construcción;2023T4;9,5
07 Balears, Illes;Servicios;2023T4;80,1
08 Barcelona;Agricultura;2023T4;0,4
08 Barcelona;Industria;2023T4;14,7
08 Barcelona;Construcción;2023T4;5,4
08 Barcelona;Servicios;2023T4;74,7
48 Bizkaia;Agricultura;2023T4;0,5
48 Bizkaia;Industria;2023T4;15,4
48 Bizkaia;Construcción;2023T4;5,4
48 Bizkaia;Servicios;2023T4;74,8
09 Burgos;Agricultura;2023T4;4,1
09 Burgos;Industria;2023T4;24,4
09 Burgos;Construcción;2023T4;5,5
